Stage,Subject,Outcome,Focus Area,Focus Group,Content Group,Content Point
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Name and order the cycle of months,Identify a day and date using a Gregorian calendar
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Name and order the cycle of months,Recognise monthly and annual cycles
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Tell time to the half-hour,Read analog clocks to the half-hour using the terms ‘o'clock’ and ‘half past’
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Tell time to the half-hour,Describe the position of the hands on a clock for the half-hour
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Tell time to the half-hour,Connect the use of half turns to the turn of the minute hand for the passing of the half-hour
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Tell time to the half-hour,Explain why the hour hand on a clock is halfway between successive hour-markers when the minute hand shows the half-hour (Reasons about relations)
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Tell time to the half-hour,Describe everyday events with particular hour and half-hour times
1,Mathematics,Measurement and Space,Non-spatial measure A,Time,Tell time to the half-hour,"Record hour and half-hour time, making connections between analog and digital clocks"
1,Mathematics,Measurement and Space,Non-spatial measure B,Mass,Compare the masses of objects using an equal-arm balance,Use uniform informal units to measure the mass of an object by counting the number of units needed to obtain a level balance on an equal-arm balance
1,Mathematics,Measurement and Space,Non-spatial measure B,Mass,Compare the masses of objects using an equal-arm balance,Select an appropriate uniform informal unit to measure the mass of an object and justify the choice (Reasons about relations)
1,Mathematics,Measurement and Space,Non-spatial measure B,Mass,Compare the masses of objects using an equal-arm balance,Explain the relationship between the mass of a unit and the number of units needed (Reasons about relations)
1,Mathematics,Measurement and Space,Non-spatial measure B,Mass,Compare the masses of objects using an equal-arm balance,Compare the masses of two or more objects using the same informal units
1,Mathematics,Measurement and Space,Non-spatial measure B,Mass,Compare the masses of objects using an equal-arm balance,Estimate mass by referring to the number and type of uniform informal unit used and check by measuring
1,Mathematics,Measurement and Space,Non-spatial measure B,Mass,Compare the masses of objects using an equal-arm balance,Recognise that mass is conserved
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Describe duration using units of time,"Use a calendar to calculate the number of months, weeks or days until an upcoming event"
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Describe duration using units of time,Estimate and measure the duration of an event using a repeated informal unit
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Describe duration using units of time,Compare and order the duration of events measured using a repeated informal unit
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Describe duration using units of time,"Use the terms ‘hour’, ‘minute’ and ‘second’"
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Describe duration using units of time,Compare the duration of standard time units
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Describe duration using units of time,Make predictions about the time remaining until a particular event starts or finishes (Reasons about relations)
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Tell time to the quarter-hour using the language of ‘past’ and ‘to’,Read analog clocks to the quarter-hour using the terms ‘past’ and ‘to’
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Tell time to the quarter-hour using the language of ‘past’ and ‘to’,Describe the position of the hands on a clock for quarter past and quarter to and relate this to quarter turns
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Tell time to the quarter-hour using the language of ‘past’ and ‘to’,Identify which hour has just passed when the hour hand is not pointing to a numeral
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Tell time to the quarter-hour using the language of ‘past’ and ‘to’,Record quarter-past and quarter-to time on analog and digital clocks
1,Mathematics,Measurement and Space,Non-spatial measure B,Time,Tell time to the quarter-hour using the language of ‘past’ and ‘to’,"Associate the numerals 3, 6 and 9 with 15, 30 and 45 minutes and with the terms ‘quarter past’, ‘half past’ and ‘quarter to', respectively"
1,Mathematics,Statistics and Probability,Data A,Data A,Ask questions and gather data,Investigate a topic of interest by choosing suitable questions to obtain appropriate data
1,Mathematics,Statistics and Probability,Data A,Data A,Ask questions and gather data,"Gather data and track what has been counted by using concrete materials, tally marks, lists or symbols"
1,Mathematics,Statistics and Probability,Data A,Data A,Represent data with objects and drawings and describe the displays,Use concrete materials or pictures of objects as symbols to create data displays where one object or picture represents one data value
1,Mathematics,Statistics and Probability,Data A,Data A,Represent data with objects and drawings and describe the displays,Describe information presented in one-to-one data displays (Reasons about relations)
1,Mathematics,Statistics and Probability,Data A,Data A,Represent data with objects and drawings and describe the displays,"Use comparative language to describe information presented in a display, such as ‘more than' and ‘less than’"
1,Mathematics,Statistics and Probability,Data A,Data A,Represent data with objects and drawings and describe the displays,Interpret a data display and identify the biggest or smallest values
1,Mathematics,Statistics and Probability,Data B,Data B,Identify a question of interest and gather relevant data,"Pose suitable questions where the answers form categories, and predict the likely responses"
1,Mathematics,Statistics and Probability,Data B,Data B,Identify a question of interest and gather relevant data,Collect data on familiar topics
1,Mathematics,Statistics and Probability,Data B,Data B,Identify a question of interest and gather relevant data,Sort data into relevant categories
1,Mathematics,Statistics and Probability,Data B,Data B,Create displays of data and interpret them,Organise collected data into lists and tables to display information
1,Mathematics,Statistics and Probability,Data B,Data B,Create displays of data and interpret them,"Represent data in a picture graph using a baseline, equal spacing and same-sized symbols"
1,Mathematics,Statistics and Probability,Data B,Data B,Create displays of data and interpret them,Give reasons why some representations of data are misleading (Reasons about relations)
1,Mathematics,Statistics and Probability,Data B,Data B,Create displays of data and interpret them,Interpret information presented in tables and picture graphs (Reasons about relations)
1,Mathematics,Statistics and Probability,Data B,Data B,Create displays of data and interpret them,Record answers to questions using the information in tables and picture graphs
1,Mathematics,Statistics and Probability,Chance A,Chance A,Identify and describe possible outcomes,Identify possible outcomes of familiar activities and events
1,Mathematics,Statistics and Probability,Chance A,Chance A,Identify and describe possible outcomes,Describe the chance of possible outcomes for familiar activities and events
1,Mathematics,Statistics and Probability,Chance B,Chance B,Identify and describe activities that involve chance,Describe possible outcomes in everyday activities and events as being likely or unlikely to happen
1,Mathematics,Statistics and Probability,Chance B,Chance B,Identify and describe activities that involve chance,Compare familiar activities and events and describe them as being more or less likely to happen (Reasoning about relations)
1,Mathematics,Statistics and Probability,Chance B,Chance B,Identify and describe activities that involve chance,Describe familiar events as being possible
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,"Read, represent and order numbers to thousands","Group physical or virtual objects to show the structure of tens, hundreds and a thousand"
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,"Read, represent and order numbers to thousands","Regroup numbers flexibly, recognising one thousand as 10 hundreds and one hundred as 10 tens or 100 ones"
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,"Read, represent and order numbers to thousands",Compare and describe the relative size of numbers by positioning numbers on a number line (Reasons about quantity)
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,"Read, represent and order numbers to thousands",Count forwards and backwards by tens and hundreds on and off the decade
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,"Read, represent and order numbers to thousands","Represent numbers up to and including thousands using physical or virtual manipulatives, words, numerals, diagrams and digital displays"
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,"Read, represent and order numbers to thousands",Read and order numbers of up to at least 4 digits
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,"Read, represent and order numbers to thousands",Identify the number before and after a number with an internal zero digit
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,Apply place value to partition and regroup numbers up to 4 digits,Record numbers using standard place value form
2,Mathematics,Number and Algebra,Representing numbers using place value A,Whole numbers,Apply place value to partition and regroup numbers up to 4 digits,Partition numbers of up to 4 digits in non-standard forms (Reasons about quantity)
2,Mathematics,Number and Algebra,Representing numbers using place value B,Whole numbers,Order numbers in the thousands,Arrange numbers in the thousands in ascending and descending order
2,Mathematics,Number and Algebra,Representing numbers using place value B,Whole numbers,Order numbers in the thousands,Recognise and describe how rearranging digits changes the size of a number (Reasons about relations)
2,Mathematics,Number and Algebra,Representing numbers using place value B,Whole numbers,Order numbers in the thousands,"Identify the nearest thousand, 10 thousand or 100 thousand to numbers"
2,Mathematics,Number and Algebra,Representing numbers using place value B,Whole numbers,"Apply place value to partition, regroup and rename numbers up to 6 digits","Name thousands using the place value grouping of ones, tens and hundreds of thousands"
2,Mathematics,Number and Algebra,Representing numbers using place value B,Whole numbers,"Apply place value to partition, regroup and rename numbers up to 6 digits",Use place value to expand the number notation
2,Mathematics,Number and Algebra,Representing numbers using place value B,Whole numbers,"Apply place value to partition, regroup and rename numbers up to 6 digits",Partition numbers of up to 6 digits in non-standard forms
2,Mathematics,Number and Algebra,Representing numbers using place value B,Whole numbers,"Recognise and represent numbers that are 10, 100 or 1000 times as large","Recognise the number of tens, hundreds or thousands in a number"
2,Mathematics,Number and Algebra,Representing numbers using place value B,Whole numbers,"Recognise and represent numbers that are 10, 100 or 1000 times as large","Describe how making a number 10, 100 or 1000 times as large changes the place value of digits"
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,Divide a length representing one whole into 10 equal parts and label the divisions using decimal notation
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,Use the decimal point as a marker to identify the position of the ones digit when expressing tenths as decimals
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,Recognise that 10-tenths is recorded as 1.0 and regroup when using decimal notation
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,Represent and compare tenths as decimals using linear representations (Reasons about relations)
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,Subdivide tenths into 10 equal parts and record hundredths using place value
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,Express decimals as both tenths and hundredths
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,"Locate and order decimals representing tenths and hundredths on a number line, describing their relative size"
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,Interpret zero digits at the end of a decimal
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Extend the application of the place value system from whole numbers to tenths and hundredths,Distinguish between the role of zero in various positions
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Make connections between fractions and decimal notation,Record equivalent measurements using decimals
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Make connections between fractions and decimal notation,Connect fraction strips showing tenths to a number line marked in hundredths
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Make connections between fractions and decimal notation,Compare and order decimals of up to 2 decimal places
2,Mathematics,Number and Algebra,Representing numbers using place value B,Decimals,Make connections between fractions and decimal notation,Make connections between fractions and decimal notation for key benchmark values (Reasons about relations)
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Use the principle of equality,Recognise equal differences and record them in number sentences
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Use the principle of equality,"Use the equals sign to mean 'the same as', rather than to perform an operation"
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Use the principle of equality,Apply the associative property of addition to forming multiples of 10 (Reasons about relations)
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Recognise and explain the connection between addition and subtraction,Use number relation principles to solve related problems (Reasons about relations)
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Recognise and explain the connection between addition and subtraction,Demonstrate how addition and subtraction are inverse operations
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Recognise and explain the connection between addition and subtraction,Use the complement principle of addition and subtraction (Reasons about relations)
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Recognise and explain the connection between addition and subtraction,"Explain and check solutions to problems, including by using the inverse operation"
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,"Apply known mental strategies that use partitioning to add and subtract, such as bridging the decades"
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,Use the compensation strategy to add and subtract (Reasons about relations)
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,Apply the levelling and constant difference strategies (Reasons about relations)
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,"Represent solutions to addition and subtraction problems, including word problems, using an empty number line or bar model"
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,"Compare and evaluate strategies used to solve addition and subtraction problems, reasoning which strategy may be most efficient"
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Represent money values in multiple ways,Recognise the relationship between dollars and cents
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Represent money values in multiple ways,Represent equivalent amounts of money using different denominations
2,Mathematics,Number and Algebra,Additive relations A,Additive relations A,Represent money values in multiple ways,"Perform calculations with money, including finding change"
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Use quantity values and non-standard partitioning to solve addition and subtraction problems
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Model addition with and without regrouping and record the method used
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Model subtraction with and without regrouping and record the method used
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems","Use an algorithm with understanding to record addition and subtraction calculations, where efficient, involving 3-digit numbers"
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Recognise how hundreds are exchanged in subtraction algorithms requiring regrouping
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Recognise when mental strategies would be more efficient than a vertical algorithm for subtraction (Reasons about relations)
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Solve subtraction questions with missing digits given the difference (Reasons about relations)
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Apply addition and subtraction to familiar contexts, including money and budgeting","Use estimation to check the validity of solutions to addition and subtraction problems, including those involving money"
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Apply addition and subtraction to familiar contexts, including money and budgeting","Reflect on a chosen strategy for solving a problem, considering whether it can be improved"
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,"Apply addition and subtraction to familiar contexts, including money and budgeting",Interpret problems involving money as requiring either addition or subtraction
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,Complete number sentences involving additive relations to find unknown quantities,Calculate missing numbers by completing number sentences involving addition and subtraction (Algebraic reasoning)
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,Complete number sentences involving additive relations to find unknown quantities,Find the missing number in an equivalent number sentence involving operations of addition or subtraction on both sides of the equals sign (Algebraic reasoning)
2,Mathematics,Number and Algebra,Additive relations B,Additive relations B,Complete number sentences involving additive relations to find unknown quantities,Create word problems that correspond to given addition and subtraction number sentences
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,Generate and describe patterns,"Model, describe and record patterns of multiples"
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,Generate and describe patterns,Create and continue a variety of number patterns that increase or decrease by a constant amount
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,Generate and describe patterns,Recognise the significance of the final digit of a whole number in determining whether a given number is even or odd (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,Generate and describe patterns,Recognise the connection between even numbers and the multiplication facts for 2 (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,Generate and describe patterns,Investigate the result of multiplying by one and zero (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10","Create and represent multiplicative structure, using the term multiples when connecting grouping to arrays"
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Use the array structure to coordinate the number of groups with the number in each group
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10","Record the first 10 multiples formed by counting by twos, fours, fives and tens"
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Relate doubling to multiplication facts for multiples of 2
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Recognise that doubling is multiplying by 2 and halving is dividing by 2 (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Recognise the relationship between one multiple and its double (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Use arrays to establish multiplication facts from multiples of 2 and 4, 5 and 10",Model square numbers and record in numerical and diagrammatic form
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Recall multiplication facts of 2 and 4, 5 and 10 and related division facts","Recognise and use the symbols for multiplied by (x), divided by (÷) and equals (=)"
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Recall multiplication facts of 2 and 4, 5 and 10 and related division facts",Link multiplication and division fact families using arrays
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Recall multiplication facts of 2 and 4, 5 and 10 and related division facts","Generate multiplication fact families for multiples of 2 and 4, 5 and 10"
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,"Recall multiplication facts of 2 and 4, 5 and 10 and related division facts",Model and apply the commutative property of multiplication
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,Represent and solve problems involving multiplication fact families,Describe multiplication problems using for each and times as many
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,Represent and solve problems involving multiplication fact families,Find the total of partially covered arrays
2,Mathematics,Number and Algebra,Multiplicative relations A,Multiplicative relations A,Represent and solve problems involving multiplication fact families,Apply the inverse relationship of multiplication and division (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Investigate number sequences involving related multiples,Generate number patterns using related multiples
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Investigate number sequences involving related multiples,Investigate number patterns involving related multiples
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Use known number facts and strategies,Apply the known strategy of doubling to connect multiples of 3 to 6 and 4 to 8 (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Use known number facts and strategies,Use known facts to find unknown multiples (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Use the structure of the area model to represent multiplication and division,"Create and represent multiplicative structure, moving from arrays to partially covered area models"
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Use number properties to find related multiplication facts,Use the commutative property of multiplication
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Use number properties to find related multiplication facts,Use the associative property within multiplication to regroup the factors (Reasons about structure)
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Use number properties to find related multiplication facts,Use flexible partitioning within multiplication (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Use number properties to find related multiplication facts,Generate and recall multiplication fact families up to 10 x 10
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Operate with multiples of 10,Use multiplication facts with multiples of 10 to multiply a one-digit number by a multiple of 10
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Operate with multiples of 10,Use place value to rename groups of 10 to multiply
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Operate with multiples of 10,Apply the commutative and associative properties to multiply by multiples of 10
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Represent and solve word problems with number sentences involving multiplication or division,Use the equals sign to record equivalent number relationships involving multiplication (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Represent and solve word problems with number sentences involving multiplication or division,Complete number sentences involving multiplication and division by calculating missing numbers (Reasons about relations)
2,Mathematics,Number and Algebra,Multiplicative relations B,Multiplicative relations B,Represent and solve word problems with number sentences involving multiplication or division,Represent and solve multiplication and division (both sharing and grouping) word problems using number sentences
2,Mathematics,Number and Algebra,Partitioned fractions A,Partitioned fractions A,Create fractional parts of a length using techniques other than repeated halving,Make thirds of a length
2,Mathematics,Number and Algebra,Partitioned fractions A,Partitioned fractions A,Create fractional parts of a length using techniques other than repeated halving,Create fifths of a length
2,Mathematics,Number and Algebra,Partitioned fractions A,Partitioned fractions A,"Model and represent unit fractions, and their multiples, to a complete whole on a number line","Model fractions with fraction strips and diagrams for halves, quarters, eighths, thirds"
2,Mathematics,Number and Algebra,Partitioned fractions A,Partitioned fractions A,"Model and represent unit fractions, and their multiples, to a complete whole on a number line",Describe fraction families formed by dividing the whole into the same total number of equal parts as having the same denominator
2,Mathematics,Number and Algebra,Partitioned fractions A,Partitioned fractions A,"Model and represent unit fractions, and their multiples, to a complete whole on a number line","Determine the complementary fractional part needed to complete one whole (halves, quarters, eighths, thirds) (Reasons about relations)"
2,Mathematics,Number and Algebra,Partitioned fractions A,Partitioned fractions A,"Model and represent unit fractions, and their multiples, to a complete whole on a number line","Recreate the whole unit from a fractional part ( 1/2, 1/4 , 1/3 and 1/8) (Reversible reasoning)"
2,Mathematics,Number and Algebra,Partitioned fractions B,Partitioned fractions B,Model equivalent fractions as lengths,"Represent the equivalence of fractions with related denominators as lengths, using concrete materials, diagrams and number lines"
2,Mathematics,Number and Algebra,Partitioned fractions B,Partitioned fractions B,Model equivalent fractions as lengths,Recognise the need to have equal wholes to compare partitioned fractions (Reasoning about relations)
2,Mathematics,Number and Algebra,Partitioned fractions B,Partitioned fractions B,Model equivalent fractions as lengths,"Represent fractions with the same-size whole to make valid comparisons (denominators of 2, 4 and 8; 3 and 6; 5 and 10)"
2,Mathematics,Number and Algebra,Partitioned fractions B,Partitioned fractions B,Represent fractional quantities equal to and greater than one,"Rename 2 halves, 3 thirds, 4 quarters, 5 fifths, 6 sixths, 8 eighths and 10 tenths as one whole"
2,Mathematics,Number and Algebra,Partitioned fractions B,Partitioned fractions B,Represent fractional quantities equal to and greater than one,Regroup fractional parts beyond one
2,Mathematics,Number and Algebra,Partitioned fractions B,Partitioned fractions B,Represent fractional quantities equal to and greater than one,"Represent totals of halves, thirds, quarters and fifths that extend beyond one"
2,Mathematics,Number and Algebra,Partitioned fractions B,Partitioned fractions B,Represent fractional quantities equal to and greater than one,Determine the relative location of one-quarter and one-half when a number line extends beyond one
2,Mathematics,Measurement and Space,Geometric measure A,Position,Interpret movement on a map,Orient a map to determine directions to travel
2,Mathematics,Measurement and Space,Geometric measure A,Position,Interpret movement on a map,Use given directions to follow routes on land and Aboriginal maps without a grid reference system (Reasons about spatial structure)
2,Mathematics,Measurement and Space,Geometric measure A,Position,Interpret movement on a map,Describe a route taken on a map using landmarks and directional language
2,Mathematics,Measurement and Space,Geometric measure A,Position,Locate positions on grid maps,Locate positions by coordinating horizontal and vertical references
2,Mathematics,Measurement and Space,Geometric measure A,Position,Locate positions on grid maps,"Use the array (row and column) structure of grid maps to locate position, horizontal before vertical"
2,Mathematics,Measurement and Space,Geometric measure A,Length,"Measure and compare objects using metres, centimetres and millimetres",Measure and record lengths and distances using a combination of metres and centimetres
2,Mathematics,Measurement and Space,Geometric measure A,Length,"Measure and compare objects using metres, centimetres and millimetres","Estimate lengths and distances using known lengths as benchmarks, in metres and centimetres and check by measuring"
2,Mathematics,Measurement and Space,Geometric measure A,Length,"Measure and compare objects using metres, centimetres and millimetres",Compare and order lengths and distances using metres and centimetres
2,Mathematics,Measurement and Space,Geometric measure A,Length,"Measure and compare objects using metres, centimetres and millimetres",Recognise the need for a formal unit smaller than the centimetre to measure length
2,Mathematics,Measurement and Space,Geometric measure A,Length,"Measure and compare objects using metres, centimetres and millimetres",Identify that there are 10 millimetres in one centimetre
2,Mathematics,Measurement and Space,Geometric measure A,Length,"Measure and compare objects using metres, centimetres and millimetres",Use the millimetre as a unit to measure lengths with a ruler
2,Mathematics,Measurement and Space,Geometric measure A,Length,"Measure and compare objects using metres, centimetres and millimetres",Record lengths using the abbreviation for millimetres (mm)
2,Mathematics,Measurement and Space,Geometric measure A,Angles,Identify angles as measures of turn,Identify angles with 2 arms in practical situations
2,Mathematics,Measurement and Space,Geometric measure A,Angles,Identify angles as measures of turn,Identify the arms and vertex of an angle
2,Mathematics,Measurement and Space,Geometric measure A,Angles,Identify angles as measures of turn,Recognise an angle as the amount of turning between 2 arms
2,Mathematics,Measurement and Space,Geometric measure A,Angles,Identify angles as measures of turn,Compare angles and explain that the length of the arms does not affect the size of the angle (Reasons about spatial relations)
2,Mathematics,Measurement and Space,Geometric measure A,Angles,Identify angles as measures of turn,Use the term right angle to describe a quarter-turn in a range of orientations (Reasons about spatial orientation)
2,Mathematics,Measurement and Space,Geometric measure B,Position,Create and interpret grid maps,"Create simple maps and plans from an aerial view, labelling grid references"
2,Mathematics,Measurement and Space,Geometric measure B,Position,Create and interpret grid maps,"Identify and mark locations on maps and plans, given their grid references"
2,Mathematics,Measurement and Space,Geometric measure B,Position,Use directional language and describe routes with grid maps,"Use a given grid map and compass directions (N, S, E, W) to plan, describe and show a route from one location to another"
2,Mathematics,Measurement and Space,Geometric measure B,Position,Use directional language and describe routes with grid maps,"Use natural resources or landmarks to identify north, south, east, west"
2,Mathematics,Measurement and Space,Geometric measure B,Position,Use directional language and describe routes with grid maps,Relate compass directions to amounts of turn
2,Mathematics,Measurement and Space,Geometric measure B,Position,Use directional language and describe routes with grid maps,Describe a return journey between 2 locations on a grid map (Reasons about spatial orientation)
2,Mathematics,Measurement and Space,Geometric measure B,Length,Use scaled instruments to measure and compare lengths,Select and use an appropriate scaled instrument to measure lengths and distances
2,Mathematics,Measurement and Space,Geometric measure B,Length,Use scaled instruments to measure and compare lengths,"Select and use an appropriate unit to estimate, measure and compare lengths and distances"
2,Mathematics,Measurement and Space,Geometric measure B,Length,Use scaled instruments to measure and compare lengths,Recognise the features of a three-dimensional object associated with length that can be measured
2,Mathematics,Measurement and Space,Geometric measure B,Length,Use scaled instruments to measure and compare lengths,Use the term perimeter to describe the distance around the boundary
2,Mathematics,Measurement and Space,Geometric measure B,Length,Use scaled instruments to measure and compare lengths,Estimate and measure the perimeters of quadrilaterals
2,Mathematics,Measurement and Space,Geometric measure B,Length,Use scaled instruments to measure and compare lengths,"Convert between metres and centimetres, and between centimetres and millimetres"
2,Mathematics,Measurement and Space,Geometric measure B,Length,Use scaled instruments to measure and compare lengths,Record lengths and distances using decimal notation to 2 decimal places
2,Mathematics,Measurement and Space,Geometric measure B,Angles,Compare angles to a right angle,Compare angles to a right angle using an informal means
2,Mathematics,Measurement and Space,Geometric measure B,Angles,Compare angles to a right angle,"Recognise and describe angles as less than, equal to, about the same as or greater than a right angle"
